Date,Link,Message
2026-01-08 18:22:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7415069282381836288,"Ben Guo love that you posted this! Storing your \"data valuables\" is immensely important. 

We should all have our personal little Libraries of Alexandria"
2026-01-08 17:07:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7415069282381836288,How bright the future turns out to be is directly correlated with how optimistically we build towards it
2026-01-08 14:15:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7415021681053691904,"Using AI for the job search is an exercise in using it correctly -- and sparingly.

Ideally, it's used to help aggregate opportunities (e.g. Warmer Jobs) and improve the underlying ability of a candidate to advocate for themselves, particularly early career folks (aka what we do at Careerspan).

Conversely, stay far away from auto apply tools (which are glorified spam bots that'll have you applying for both a gardening position in the midwest and an investment banking internship in New York City -- and that's if your name doesn't get flagged in the ATS for submitting junk apps). 

Most resume generation tools are garbage as well because they don't make an effort to get to know the individual first, so anything they produce is necessarily generic or fabricated. That's why folks are better off just using ChatGPT because at least it has memory. 

Hope that helps!"
2026-01-07 06:01:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414328144159105024,talent mixers are the way forward
2026-01-06 15:31:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7414312109494345728,"When there's doubt, there's no doubt!"
2026-01-06 03:06:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7413989452894597120,Jabari Grubb is the man! Congrats to you both.
2026-01-05 17:21:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7413986985586880512,Cool to see you doing big things Varun Rana! Hope your 2026 rocks even harder.
2025-12-20 17:02:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7408168101982339072,What a talented crew!
2025-12-19 11:22:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407531552236109824,"Asher King-Abramson you're too kind! I have to start bringing everyone back together, it's been too long!"
2025-12-18 23:54:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407531552236109824,I love when the best people I know work together!
2025-12-17 16:58:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407090002888667136,These people are the bane of my existence
2025-12-17 15:33:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407075994555219968,"Ben Guo the phrase \"I am aware\" will forever be burned into my brain"
2025-12-17 15:13:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406758337171738624,Gagan Biyani thank you! Excited to dig in!
2025-12-17 13:27:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404537976782802944,Bolun Li - I can't imagine you're seeing candid recommendations that are any better either. Let me know if you'd like that to change!
2025-12-17 01:08:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406617593068998657,"Husain Rasheed thanks for the shout-out! 

Let's talk Mukund Jha!"
2025-12-16 18:47:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406758337171738624,Heard great things about Maven from Ben Guo! Where do I sign up?
2025-12-16 18:04:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406755036162281472,"Y'all Thanos-snapped ChatGPT, Claude, and Notion (and a few other minor ones) out of my stack. 

Imagine a product so good, using it saves you $100 a month off rip. 

That's Zo Computer"
2025-12-16 17:38:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406739939201294336,Gen Z making me grateful AI is going to take all our jobs so I don't have to compete
2025-12-16 17:29:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406742141458214930,"Thank you so much Anna Insana! It means the world when folks are able to grasp the *why* behind what we build. 

For anyone looking for your next gig--check out our job board: https://careerspan.short.gy/jobboard

Or, if you're just looking to be proactive about your career, you sign up here: https://app.mycareerspan.com/create-account?oid=202oEi9w"
2025-12-16 01:42:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7406334075168346112,Big fan of InPress personally!
2025-12-15 19:59:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406392420680220673,"Yes! messaging you now, Ali Sarilgan"
2025-12-13 01:01:03,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7405319572779708416,Shujaat Ahmad thanks so much! Looking forward to catching up next week!
2025-12-12 18:00:08,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7405282803484884992,"Damn these are good. 

Number 1 always hurts to read because, two years ago, I dismissed the notion outright: having a great product is non-negotiable, right?

Turns out there's a huge gap between great and good enough--not knowing the difference led to wasting time I should have spent selling or brand building."
2025-12-11 22:13:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404937267368099840,Nikethana N N thank you!!
2025-12-11 20:01:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404942402391781376,Software transmissions went from CDs to digital downloads to linked text files just in our lifetime. Shit is wild yo.
2025-12-11 07:53:08,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7396432483598139392,Cfbr!
2025-12-11 03:52:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404632475789844481,Logan Currie what if you regularly say things out loud in a way that most humans wouldn't? Asking for a friend
2025-12-10 16:56:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404557528690561024,Congratulations! Just signed up :)
2025-12-10 01:40:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404327581166346240,Cc Ben Guo  + Rob Cheung
2025-12-10 01:38:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404327581166346240,"Zo Computer should be on your radar. 

I'm one of the non-technical folks in your audience, and this product has singlehandedly revolutionized how I engage with technology. I would stake my reputation on you loving them

Source: a lot of time on your channel"
2025-12-09 12:58:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7403861716087816192,"Thanks for being such a great booster, JEFF H SIPE, PRACTICE INTERVIEWS!"
2025-12-09 01:58:44,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7403861420792102912,David Speigel 🔮 amen to that!
2025-12-08 18:02:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7403856397605556224,Board link: https://www.notion.so/careerspan/29c5c3d6a5db81049725d10b46ebd598?v=29c5c3d6a5db800aa74e000cabe5de1c&source=copy_link
2025-12-05 17:01:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402747129246720000,I may just have mono screwed myself out of a gift lol
2025-12-05 17:00:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402747129246720000,"Logan Currie - are you going to make me admit that I switched back to superwhisper in front of everyone 😬 

For the record, they're both brilliant products from great builders."
2025-12-05 16:48:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402747129246720000,Shit you might have me beat
2025-12-05 15:23:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402723712837246977,Logan Currie - this is basically like a bat signal for you
2025-12-04 19:08:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402416679516852224,It's all fun games until you can't place adjectives in a sentence correctly
2025-12-04 19:07:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402416679516852224,Thank you for illustrating why I don't use Grok
2025-12-04 16:36:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402037067867770882,"Thank you for the correction Jess Weems Thibault, because I want to be clear about this—paying a recruiter, if they're the right recruiter, is frequently the best path forward, particularly for niche or director-and-up roles. We did it for our last \"can't fail\" hire and it was 100% the right call. 

Case in point: almost none of the first-time founders I speak to want to pay for recruiters, but I have yet to see a repeat founder who didn't say something to the effect of \"I'll pay whoever whatever they want for the right person\"

That said, plenty of other roles where the on-demand + coaching-focused nature of Careerspan's offering can give candidates an edge they wouldn't get even with a recruiter!"
2025-12-03 23:11:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402087392230465537,"When I was interning at Gainsight, I took on an effort to figure out why tool adoption among sellers was low. Surveyed maybe 30 or so of the ~80 sellers across all major geographies and product lines. 

A couple of observations:
- Generally, people don't want to learn new tools — even if it makes their life better or easier. 
- Lots of companies suffer from \"if we buy it, they will come\" syndrome; a lot of thought needs to be put into building the desire—in both individuals and the collective—to use the tool. 
- Having \"power users\" is key — power users find joy in learning about a product and often have a desire to share that with others. No enablement strategy is better than a really hyped employee recording a loom explaining why tool XYZ will change their lives (coming from the boss doesn't count for the same reason why listening to our parents' advice is harder than listening to a friend's)"
2025-12-03 22:58:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402089012506546176,"Haha Neel gave me some sage advice on engaging with investors, so his role in this is unsurprising"
2025-12-03 22:45:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402089012506546176,Referencing Ted Chiang and Ronald Dahl in the same paragraph puts you in the top 1% of human beings in my book
2025-12-03 22:28:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402060853748895744,Great seeing ya there!
2025-12-03 20:22:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402037067867770882,Shujaat Ahmad pinging you now let's set that up. Got a lot of exciting updates to share!
2025-12-03 17:50:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402037067867770882,"Honestly, it's at the point where even the founders I'm speaking to aren't even looking at inbound anymore. 

They hate paying recruiters, but they also don't want to be buried in resumes or screening bad fits.

They just feel like they don't feel like there's a better way. 

At least they do before I tell them what Careerspan can do for them!"
2025-12-02 09:03:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7401255030294736898,Congratulations!!
2025-12-01 21:03:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7401264691064303616,"Emily Nelson de Velasco -- as you know I concur. In the future, a legitimate candidate will be someone themselves authentically in every sense of the word, not just the legal one."
